environment,benchmark,metric,unit,sample_count,valid_count,mean,median,stdev,cv_percent,min,max,p50,p95,p99
virtualbox,scheduling_deterministic,total_context_switches,,7,7,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0,40000.0,40000.0
virtualbox,scheduling_deterministic,user_time_sec,s,7,7,0.008571,0.01,0.00378,44.0959,0.0,0.01,0.01,0.01,0.01
virtualbox,scheduling_deterministic,wall_time_sec,s,7,7,0.095714,0.09,0.011339,11.8466,0.08,0.11,0.09,0.11,0.11
virtualbox,startup_lifecycle,startup_phases.total_startup_duration_sec,,2,2,1.49885,1.49885,0.03387,2.2598,1.4749,1.5228,1.49885,1.520405,1.522321
virtualbox,syscall_deterministic,cpu_percentage,%,7,7,92.428571,95.0,4.54082,4.9128,83.0,95.0,95.0,95.0,95.0
virtualbox,syscall_deterministic,elapsed_sec,s,7,7,0.018926,0.019385,0.00232,12.2599,0.015796,0.021409,0.019385,0.021351,0.021397
virtualbox,syscall_deterministic,iteration,,7,7,2.571429,2.0,1.511858,58.7945,1.0,5.0,2.0,4.7,4.94
virtualbox,syscall_deterministic,latency_ns,ns,7,7,94.628571,96.92,11.603424,12.2621,78.98,107.05,96.92,106.756,106.9912
virtualbox,syscall_deterministic,max_rss_kb,KB,7,7,588.0,588.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0
virtualbox,syscall_deterministic,ops_per_sec,ops/sec,7,7,10714283.142857,10317508.43,1400565.971042,13.072,9341787.9,12661607.22,10317508.43,12658498.746,12660985.5252
virtualbox,syscall_deterministic,parameters.iterations,,7,7,200000.0,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0
virtualbox,syscall_deterministic,parameters.warmup,,7,7,5000.0,5000.0,0.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
virtualbox,syscall_deterministic,system_time_sec,s,7,7,0.002857,0.0,0.00488,170.7825,0.0,0.01,0.0,0.01,0.01
virtualbox,syscall_deterministic,telemetry.cpu_percentage,%,7,7,92.428571,95.0,4.54082,4.9128,83.0,95.0,95.0,95.0,95.0
virtualbox,syscall_deterministic,telemetry.max_rss_kb,KB,7,7,588.0,588.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0
virtualbox,syscall_deterministic,telemetry.system_time_sec,s,7,7,0.002857,0.0,0.00488,170.7825,0.0,0.01,0.0,0.01,0.01
virtualbox,syscall_deterministic,telemetry.user_time_sec,s,7,7,0.007143,0.01,0.00488,68.313,0.0,0.01,0.01,0.01,0.01
virtualbox,syscall_deterministic,telemetry.vsz_kb,,7,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
virtualbox,syscall_deterministic,telemetry.wall_time_sec,s,7,7,0.017143,0.02,0.00488,28.4638,0.01,0.02,0.02,0.02,0.02
virtualbox,syscall_deterministic,total_syscalls,count,7,7,200000.0,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0
virtualbox,syscall_deterministic,user_time_sec,s,7,7,0.007143,0.01,0.00488,68.313,0.0,0.01,0.01,0.01,0.01
virtualbox,syscall_deterministic,wall_time_sec,s,7,7,0.017143,0.02,0.00488,28.4638,0.01,0.02,0.02,0.02,0.02
