run_id,experiment_id,environment,benchmark,timestamp,exit_code,status,gflops,throughput_mb_s,ops_per_sec,latency_ns,latency_us,elapsed_sec,wall_time_sec,cpu_percentage,max_rss_kb,checksum
network_iperf3-lxc-06fe02f8,exp-20260916-105609-94ad61,lxc,network_iperf3,2026-09-16T10:56:22.238805+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-lxc-3884f54d,exp-20260916-111824-1722b1,lxc,network_iperf3,2026-09-16T11:18:38.878597+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-kvm-30428b4d,exp-20260916-105447-453a14,kvm,network_iperf3,2026-09-16T10:54:59.230251+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-kvm-c95e9658,exp-20260916-111705-86eddd,kvm,network_iperf3,2026-09-16T11:17:18.558000+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-virtualbox-d917640b,exp-20260916-105528-ba33df,virtualbox,network_iperf3,2026-09-16T10:55:40.639747+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-virtualbox-e503b3e2,exp-20260916-111744-b6ca9b,virtualbox,network_iperf3,2026-09-16T11:17:58.879294+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-host-bbaf809f,exp-20260916-105426-2820c0,host,network_iperf3,2026-09-16T10:54:38.942317+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-host-52ed5b25,exp-20260916-110655-920b1e,host,network_iperf3,2026-09-16T11:07:08.129521+00:00,-1,unavailable,,,,,,,,,,
network_iperf3-host-17ea864d,exp-20260916-111643-e9d268,host,network_iperf3,2026-09-16T11:16:56.094164+00:00,-1,unavailable,,,,,,,,,,
