run_id,experiment_id,environment,benchmark,timestamp,exit_code,status,gflops,throughput_mb_s,ops_per_sec,latency_ns,latency_us,elapsed_sec,wall_time_sec,cpu_percentage,max_rss_kb,checksum
isolation_audit-host-aeeb5ab3,exp-20260916-105426-2820c0,host,isolation_audit,2026-09-16T10:54:39.575807+00:00,0,success,,,,,,,,,,
isolation_audit-host-f8957071,exp-20260916-110655-920b1e,host,isolation_audit,2026-09-16T11:07:08.693581+00:00,0,success,,,,,,,,,,
isolation_audit-host-68bf88eb,exp-20260916-111643-e9d268,host,isolation_audit,2026-09-16T11:16:56.657249+00:00,0,success,,,,,,,,,,
isolation_audit-lxc-bba739a2,exp-20260916-105609-94ad61,lxc,isolation_audit,2026-09-16T10:56:24.953653+00:00,0,success,,,,,,,,,,
isolation_audit-lxc-ec43ac41,exp-20260916-111824-1722b1,lxc,isolation_audit,2026-09-16T11:18:41.512401+00:00,0,success,,,,,,,,,,
isolation_audit-kvm-c598d100,exp-20260916-105447-453a14,kvm,isolation_audit,2026-09-16T10:55:03.589920+00:00,0,success,,,,,,,,,,
isolation_audit-kvm-d48d5fb0,exp-20260916-111705-86eddd,kvm,isolation_audit,2026-09-16T11:17:22.873296+00:00,0,success,,,,,,,,,,
isolation_audit-virtualbox-ab70599d,exp-20260916-105528-ba33df,virtualbox,isolation_audit,2026-09-16T10:55:42.761571+00:00,0,success,,,,,,,,,,
isolation_audit-virtualbox-7cb9373f,exp-20260916-111744-b6ca9b,virtualbox,isolation_audit,2026-09-16T11:18:00.973869+00:00,0,success,,,,,,,,,,
