environment,benchmark,metric,unit,quality_flag,total_runs,successful_runs,failed_runs,unavailable_runs,mean,median,min,max,stdev,cv_percent,p50,p95,p99,traceable_run_count
virtualbox,cpu_deterministic,telemetry.vsz_kb,,FAILED,70,61,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,61
virtualbox,cpu_deterministic,telemetry.wall_time_sec,s,FAILED,70,61,9,0,0.002295,0.0,0.0,0.01,0.00424,184.7456,0.0,0.01,0.01,61
virtualbox,cpu_deterministic,total_flops,,FAILED,70,61,9,0,14254098.360656,4000000.0,4000000.0,48000000.0,18610172.610434,130.5602,4000000.0,48000000.0,48000000.0,61
virtualbox,cpu_deterministic,user_time_sec,s,FAILED,70,61,9,0,0.001639,0.0,0.0,0.01,0.003733,227.706,0.0,0.01,0.01,61
virtualbox,cpu_deterministic,wall_time_sec,s,FAILED,70,61,9,0,0.002295,0.0,0.0,0.01,0.00424,184.7456,0.0,0.01,0.01,61
virtualbox,cpu_deterministic,warmup_elapsed_sec,,FAILED,70,61,9,0,2e-05,0.0,0.0,0.001211,0.000155,781.025,0.0,0.0,0.000484,61
virtualbox,isolation_audit,hypervisor_telemetry.host_vbox_pid,,PASS,13,13,0,0,54740.111111,51295.0,46282.0,71811.0,9907.407171,18.099,51295.0,71811.0,71811.0,9
virtualbox,isolation_audit,hypervisor_telemetry.host_vbox_rss_kb,,PASS,13,13,0,0,563468.444444,563856.0,558128.0,567840.0,3464.330495,0.6148,563856.0,567840.0,567840.0,9
virtualbox,isolation_audit,hypervisor_telemetry.host_vbox_vsz_kb,,PASS,13,13,0,0,2328238.222222,2315152.0,2307476.0,2381716.0,30492.071173,1.3097,2315152.0,2381716.0,2381716.0,9
virtualbox,isolation_audit,hypervisor_telemetry.timestamp,,PASS,13,13,0,0,1789587325.984286,1789586663.2765,1789586194.318111,1789590114.465896,1592.943901,0.0001,1789586663.2765,1789590114.009081,1789590114.374533,9
virtualbox,memory_deterministic,allocated_bytes,,PASS,23,14,9,0,67108864.0,67108864.0,67108864.0,67108864.0,0.0,0.0,67108864.0,67108864.0,67108864.0,14
virtualbox,memory_deterministic,cpu_percentage,%,PASS,23,14,9,0,98.857143,99.0,98.0,100.0,0.864438,0.8744,99.0,100.0,100.0,14
virtualbox,memory_deterministic,elapsed_sec,s,PASS,23,14,9,0,0.111464,0.108915,0.097543,0.131173,0.013036,11.695,0.108915,0.131173,0.131173,14
virtualbox,memory_deterministic,iteration,,PASS,23,14,9,0,2.571429,2.0,1.0,5.0,1.452546,56.4879,2.0,5.0,5.0,14
virtualbox,memory_deterministic,max_rss_kb,KB,PASS,23,14,9,0,65977.714286,65996.0,65868.0,66124.0,84.863174,0.1286,65996.0,66124.0,66124.0,14
virtualbox,memory_deterministic,parameters.buffer_mb,,PASS,23,14,9,0,64.0,64.0,64.0,64.0,0.0,0.0,64.0,64.0,64.0,14
virtualbox,memory_deterministic,parameters.passes,,PASS,23,14,9,0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,14
virtualbox,memory_deterministic,parameters.stride_bytes,,PASS,23,14,9,0,64.0,64.0,64.0,64.0,0.0,0.0,64.0,64.0,64.0,14
virtualbox,memory_deterministic,system_time_sec,s,PASS,23,14,9,0,0.022857,0.02,0.02,0.03,0.004688,20.5103,0.02,0.03,0.03,14
virtualbox,memory_deterministic,telemetry.cpu_percentage,%,PASS,23,14,9,0,98.857143,99.0,98.0,100.0,0.864438,0.8744,99.0,100.0,100.0,14
virtualbox,memory_deterministic,telemetry.max_rss_kb,KB,PASS,23,14,9,0,65977.714286,65996.0,65868.0,66124.0,84.863174,0.1286,65996.0,66124.0,66124.0,14
virtualbox,memory_deterministic,telemetry.system_time_sec,s,PASS,23,14,9,0,0.022857,0.02,0.02,0.03,0.004688,20.5103,0.02,0.03,0.03,14
virtualbox,memory_deterministic,telemetry.user_time_sec,s,PASS,23,14,9,0,0.08,0.08,0.07,0.1,0.011094,13.8675,0.08,0.1,0.1,14
virtualbox,memory_deterministic,telemetry.vsz_kb,,PASS,23,14,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,14
virtualbox,memory_deterministic,telemetry.wall_time_sec,s,PASS,23,14,9,0,0.112857,0.11,0.1,0.13,0.01326,11.7493,0.11,0.13,0.13,14
virtualbox,memory_deterministic,throughput_mb_s,MB/s,PASS,23,14,9,0,3923.822857,3966.41,3293.37,4428.81,444.395978,11.3256,3966.41,4428.81,4428.81,14
virtualbox,memory_deterministic,transferred_bytes,,PASS,23,14,9,0,452984832.0,452984832.0,452984832.0,452984832.0,0.0,0.0,452984832.0,452984832.0,452984832.0,14
virtualbox,memory_deterministic,user_time_sec,s,PASS,23,14,9,0,0.08,0.08,0.07,0.1,0.011094,13.8675,0.08,0.1,0.1,14
virtualbox,memory_deterministic,wall_time_sec,s,PASS,23,14,9,0,0.112857,0.11,0.1,0.13,0.01326,11.7493,0.11,0.13,0.13,14
virtualbox,network_ping,cpu_percentage,%,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,max_rss_kb,KB,PASS,13,4,9,0,2548.0,2548.0,2484.0,2612.0,73.900834,2.9003,2548.0,2612.0,2612.0,4
virtualbox,network_ping,packet_loss_percent,%,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,packets_transmitted,,PASS,13,4,9,0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,4
virtualbox,network_ping,rtt_avg_ms,ms,PASS,13,4,9,0,0.064,0.064,0.063,0.065,0.001155,1.8042,0.064,0.065,0.065,4
virtualbox,network_ping,rtt_max_ms,ms,PASS,13,4,9,0,0.0885,0.0885,0.085,0.092,0.004041,4.5666,0.0885,0.092,0.092,4
virtualbox,network_ping,rtt_mdev_ms,ms,PASS,13,4,9,0,0.0195,0.0195,0.018,0.021,0.001732,8.8823,0.0195,0.021,0.021,4
virtualbox,network_ping,rtt_min_ms,ms,PASS,13,4,9,0,0.035,0.035,0.035,0.035,0.0,0.0,0.035,0.035,0.035,4
virtualbox,network_ping,system_time_sec,s,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,telemetry.cpu_percentage,%,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,telemetry.max_rss_kb,KB,PASS,13,4,9,0,2548.0,2548.0,2484.0,2612.0,73.900834,2.9003,2548.0,2612.0,2612.0,4
virtualbox,network_ping,telemetry.system_time_sec,s,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,telemetry.user_time_sec,s,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,telemetry.vsz_kb,,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,telemetry.wall_time_sec,s,PASS,13,4,9,0,4.085,4.085,4.08,4.09,0.005774,0.1413,4.085,4.09,4.09,4
virtualbox,network_ping,user_time_sec,s,PASS,13,4,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4
virtualbox,network_ping,wall_time_sec,s,PASS,13,4,9,0,4.085,4.085,4.08,4.09,0.005774,0.1413,4.085,4.09,4.09,4
virtualbox,scheduling_deterministic,cpu_percentage,%,PASS,23,14,9,0,85.857143,88.0,79.0,90.0,4.27618,4.9806,88.0,90.0,90.0,14
virtualbox,scheduling_deterministic,elapsed_sec,s,PASS,23,14,9,0,0.090896,0.086564,0.078656,0.106194,0.008739,9.6148,0.086564,0.106194,0.106194,14
virtualbox,scheduling_deterministic,iteration,,PASS,23,14,9,0,2.571429,2.0,1.0,5.0,1.452546,56.4879,2.0,5.0,5.0,14
virtualbox,scheduling_deterministic,latency_us,us,PASS,23,14,9,0,2.272286,2.164,1.966,2.655,0.218625,9.6214,2.164,2.655,2.655,14
virtualbox,scheduling_deterministic,max_rss_kb,KB,PASS,23,14,9,0,592.0,592.0,592.0,592.0,0.0,0.0,592.0,592.0,592.0,14
virtualbox,scheduling_deterministic,parameters.iterations,,PASS,23,14,9,0,20000.0,20000.0,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0,14
virtualbox,scheduling_deterministic,parameters.warmup,,PASS,23,14,9,0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,14
virtualbox,scheduling_deterministic,switches_per_sec,switches/sec,PASS,23,14,9,0,443764.454286,462087.34,376667.76,508544.45,41638.85644,9.3831,462087.34,508544.45,508544.45,14
virtualbox,scheduling_deterministic,system_time_sec,s,PASS,23,14,9,0,0.065714,0.06,0.06,0.08,0.007559,11.5033,0.06,0.08,0.08,14
virtualbox,scheduling_deterministic,telemetry.cpu_percentage,%,PASS,23,14,9,0,85.857143,88.0,79.0,90.0,4.27618,4.9806,88.0,90.0,90.0,14
virtualbox,scheduling_deterministic,telemetry.max_rss_kb,KB,PASS,23,14,9,0,592.0,592.0,592.0,592.0,0.0,0.0,592.0,592.0,592.0,14
virtualbox,scheduling_deterministic,telemetry.system_time_sec,s,PASS,23,14,9,0,0.065714,0.06,0.06,0.08,0.007559,11.5033,0.06,0.08,0.08,14
virtualbox,scheduling_deterministic,telemetry.user_time_sec,s,PASS,23,14,9,0,0.008571,0.01,0.0,0.01,0.003631,42.3659,0.01,0.01,0.01,14
virtualbox,scheduling_deterministic,telemetry.vsz_kb,,PASS,23,14,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,14
virtualbox,scheduling_deterministic,telemetry.wall_time_sec,s,PASS,23,14,9,0,0.095714,0.09,0.08,0.11,0.010894,11.3819,0.09,0.11,0.11,14
virtualbox,scheduling_deterministic,total_context_switches,,PASS,23,14,9,0,40000.0,40000.0,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0,14
virtualbox,scheduling_deterministic,user_time_sec,s,PASS,23,14,9,0,0.008571,0.01,0.0,0.01,0.003631,42.3659,0.01,0.01,0.01,14
virtualbox,scheduling_deterministic,wall_time_sec,s,PASS,23,14,9,0,0.095714,0.09,0.08,0.11,0.010894,11.3819,0.09,0.11,0.11,14
virtualbox,startup_lifecycle,app_ready_sec,s,PASS,13,13,0,0,1.001033,1.0011,1.0004,1.0015,0.000367,0.0367,1.0011,1.00146,1.001492,9
virtualbox,startup_lifecycle,hypervisor_telemetry.host_vbox_pid,,PASS,13,13,0,0,54740.111111,51295.0,46282.0,71811.0,9907.407171,18.099,51295.0,71811.0,71811.0,9
virtualbox,startup_lifecycle,hypervisor_telemetry.host_vbox_rss_kb,,PASS,13,13,0,0,563464.888889,563852.0,558124.0,567840.0,3464.961632,0.6149,563852.0,567838.4,567839.68,9
virtualbox,startup_lifecycle,hypervisor_telemetry.host_vbox_vsz_kb,,PASS,13,13,0,0,2328238.222222,2315152.0,2307476.0,2381716.0,30492.071173,1.3097,2315152.0,2381716.0,2381716.0,9
virtualbox,startup_lifecycle,hypervisor_telemetry.timestamp,,PASS,13,13,0,0,1789587313.676358,1789586649.374284,1789586184.981415,1789590103.405472,1592.904712,0.0001,1789586649.374284,1789590102.276051,1789590103.179588,9
virtualbox,startup_lifecycle,network_ready_sec,s,PASS,13,13,0,0,0.132711,0.0928,0.0859,0.2977,0.082272,61.9931,0.0928,0.2807,0.2943,9
virtualbox,startup_lifecycle,startup_phases.total_startup_duration_sec,,PASS,13,13,0,0,1.366846,1.2203,1.2003,1.6588,0.183725,13.4416,1.2203,1.64902,1.656844,13
virtualbox,startup_lifecycle,total_boot_sec,,PASS,13,13,0,0,1.308178,1.2161,1.2003,1.6588,0.194322,14.8544,1.2161,1.65228,1.657496,9
